Date,Link,Message
2020-02-15 09:51:13,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6633959670044254209,I know it. But just 99% confidence. Wrote that comment for the other 1% type 1 error
2020-02-15 08:15:43,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6633959670044254209,Bharadvaj Nettem take it on a lighter note
2020-02-15 05:42:13,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6633959670044254209,Bharadvaj Nettem I respect data privacy ! Don’t wanna ask data of your ‘that girl’ to make my prediction accurate. Am not tinder 😂😂 . Go and solve it urself ! 😂😂
2020-02-15 00:20:27,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6633959670044254209,‘Insufficient data to predict’ 😂
2020-02-09 08:07:20,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6630771871975567360,Very simple ones. But works like charm 
2020-02-07 16:22:06,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6631579910085447681,Thanks Ken Jee  for the mention.
2020-02-03 04:56:05,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6629917071918673920,"Agreed 100%. Don’t learn from cheatsheets. 

A piece of advice I give to aspirants : 

But when you start learning from textbooks or videos, make a detailed notes of all points and 

When you revise everything for first time - make YOUR own cheatsheet and keep it safe. 

Every-time interview pops up, YOUR own cheatsheet comes handy to revise concepts fast."
2020-02-01 13:53:50,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6629276748620099584,Great Stuff. Interesting.
2020-01-30 15:00:46,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6628575804920033281,"Srivatsan Srinivasan am an amoeba in well then :) 
Anyways, learning a lot from your youtube channel."
2020-01-30 09:42:10,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6628575804920033281,"Making to your list itself makes me double happy. I am always in love with my profile. 

If at all, I dream of , I want knowledge of Srivatsan Srinivasan  or grace of your posts and comments Ankit Rathi"
2020-01-29 15:49:56,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6628287544947810304,Srivatsan Srinivasan  I had a friend who went to driving classes and wrote notes ! What to say ! Now don’t ask me gender of that friend.
2020-01-29 15:48:47,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6628287544947810304,"Very well said. To add - the activation function - ReLu and some other archiectural changes pulled neural networks to deep learning apart from hardware innovations. 

Similarly the first SVM related work came out in 1970’s. 

On any day, new techniques keep coming. But the ability to apply any technique to any problem - scalable or not , deployable or not - is most important !"
2020-01-29 11:30:45,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6628229468970409984,This is so deep. I think I can never understand this being single.  😂
2020-01-28 13:25:41,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6627781518045564928,Sure ..
2020-01-28 13:25:23,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6627781518045564928,Thanks sir
2020-01-28 06:27:35,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6627781518045564928,"Again, I don’t want to blame on professors or atleast,  don’t wanna blame my profs at NIT W. Its just they are taxed with a lot of duties including administrative responsibilities. 

More and more quality people should consider the professorship at premium institutes"
2020-01-25 04:46:15,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6626692170021724160,"I am also in that ‘I’ which repeated a lot of times. 

Bdw you aren’t a garden mower to be smooth and silky. When you teach, they stay. So I would say you are like a Oil rig driller which drills whatever comes in the way so need those pauses. 

I keep saying myself the above lines when some one says that I have ‘mother tongue’ influence, pronouncing issues etc."
2020-01-25 03:32:33,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6626497410078212096,Wish you the best buddy ! Coming from a humble background - you walked past a lot of hurdles ! You never gave up !! Let the success keep you more focussed.
2020-01-24 12:16:51,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6626325047692881920,Thanks Apoorva CR
