Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2020-02-14 05:47:18,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6633959669176037376,"On this 'Love'ly day, just reminding everyone to 'write' their goals where you can see everyday !",,,MEMBER_NETWORK
2020-02-12 12:20:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6633333726040420352,"These  insights are from feedback form circulated at my recent talk at University of Hyderabad on “How to build an effective profile for business analyst and data analyst” roles. ""
""""
""On one hand, I am happy that I could help but on another hand it makes me sad when I realise  how many people are waiting for qualitative mentoring ! ""
""""
""For the first time, I felt that I should focus on making more mentors as well who can go well around !",,,MEMBER_NETWORK
2020-02-12 12:20:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6633333726040420352,"These  insights are from feedback form circulated at my recent talk at University of Hyderabad on “How to build an effective profile for business analyst and data analyst” roles. ""
""""
""On one hand, I am happy that I could help but on another hand it makes me sad when I realise  how many people are waiting for qualitative mentoring ! ""
""""
""For the first time, I felt that I should focus on making more mentors as well who can go well around !",,,MEMBER_NETWORK
2020-02-12 12:20:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6633333726040420352,"These  insights are from feedback form circulated at my recent talk at University of Hyderabad on “How to build an effective profile for business analyst and data analyst” roles. ""
""""
""On one hand, I am happy that I could help but on another hand it makes me sad when I realise  how many people are waiting for qualitative mentoring ! ""
""""
""For the first time, I felt that I should focus on making more mentors as well who can go well around !",,,MEMBER_NETWORK
2020-02-12 12:20:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6633333726040420352,"These  insights are from feedback form circulated at my recent talk at University of Hyderabad on “How to build an effective profile for business analyst and data analyst” roles. ""
""""
""On one hand, I am happy that I could help but on another hand it makes me sad when I realise  how many people are waiting for qualitative mentoring ! ""
""""
""For the first time, I felt that I should focus on making more mentors as well who can go well around !",,,MEMBER_NETWORK
2020-02-11 07:00:44,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6632890985418448896,"When my student succeeds, I forget all the stress and pain due to immense efforts!! ""
""""
""And one more successful transition from greater than 8 years experience student with End to End Data Science course which includes personalised mentoring. ""
""""
""@dev      - Congratulations and thanks for making best use of course. I cherished all your interactions during my class. ""
""""
"" ""
""Ping me if you are interested in my course !",,,MEMBER_NETWORK
2020-02-09 09:54:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6632209820663545856,This is hilarious !!,,,MEMBER_NETWORK
2020-02-08 04:42:19,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6631768988923850752,"Thank you for the warmth University of Hyderabad ! I was damn tired but still any class always energises me ! ""
""""
""The visit made me realise the heavy need for affordable, unbiased and qualitative mentorship required for beginners !! ""
""""
""ON IT !! From now on !",,,MEMBER_NETWORK
2020-02-07 06:16:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6631430365426880512,"It was very nice experience interacting with Masters students of University of Hyderabad yesterday.""
""""
""I helped them understand how to build a good profile, develop skills and get hired as business analyst / analyst""
""""
""'How does it matter ?' remained the most favorite moment.""
""""
""""
""Thank you @Madhuri Iragavarapu and management for wonderful moments ! I will cherish the moments !!",,,MEMBER_NETWORK
2020-02-02 09:14:14,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6629663094304006144,"A very dear friend of mine is hiring for following roles""
"" ""
""Share or tag some one who is looking for",,,MEMBER_NETWORK
2020-02-02 09:14:14,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6629663094304006144,"A very dear friend of mine is hiring for following roles""
"" ""
""Share or tag some one who is looking for",,,MEMBER_NETWORK
2020-02-02 09:14:14,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6629663094304006144,"A very dear friend of mine is hiring for following roles""
"" ""
""Share or tag some one who is looking for",,,MEMBER_NETWORK
2020-02-02 09:14:14,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6629663094304006144,"A very dear friend of mine is hiring for following roles""
"" ""
""Share or tag some one who is looking for",,,MEMBER_NETWORK
2020-01-29 13:45:51,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6628281894792462337,The man behind the  IT revolution - touching feet of Ratan Tata. When two legends of Corporate India are on one screen with an excellent message of tradition and values !!,https://www.youtube.com/watch?v=wy4tMZTTpHk,https://i.ytimg.com/vi/wy4tMZTTpHk/hqdefault.jpg,MEMBER_NETWORK
