Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
21-08-2019 16:13,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6569974616670994432,"A girl decided to WED a guy who is a entrepreneur""
""""
""On the day of the date""
""""
""Girl : So, what are your hobbies ?""
""""
""Guy : Umm.... bathing and eating""
""""
""Girl's face : #!$%^&@#$""
""""
""Guy : That's what I do when I get free time ! That's the definition of hobby right !!""
""""
""#World #Entrepreneurship #day (WED)""
""""
""Enough of praising the entrepreneurs. Dedicated to the amazing women behind the entrepreneurs. ""
""""
""#entrepreneurs ",,,MEMBER_NETWORK
15-08-2019 05:34,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6567639553425928192,"Who sells on Independence Day ? For me, it's the day of joy and giveaways. So, on this auspicious day, I am giving away freedom bundle wit 15 items for free. ""
""""
""1. Extensive tutorials on basic python, pandas, numpy, matplotlib""
""2. Extensive tutorial on titanic data set - with code , data , explanation, visuals ""
""4. Solved use case - Advanced - on industry grade data set - with code , explanation, visuals ""
""5. Detailed curriculum for Data Scientist role Preparation""
""6. Detailed topics for NLP Engineer role preparation""
""7. My well received posts on Linkedin for data science preparation ~ 200 posts""
""8. 3 Hrs recording of journey of becoming a data scientist""
""9. 1 hr recording of how to master NLP with detailed topics""
""10. 3 Hours mentoring session answering the most frequently asked preparation questions for Data Science Career""
""11. 1 hr webinar recording of how an industry problem is solved. ""
""12. My visual Cv which helped me crack the first data science interview""
""13. My cover letter for data science interviews""
""14. A list of 2000 companies having Data Science teams compiled from my LinkedIn connections data""
""15. A 30 pg doc of strategies for data science preparation""
""""
""Who wants it ""
""#datascience #machinelearning #ai #august15""
""""
""PS : All my previous material promises are being sent in a week",,,MEMBER_NETWORK
07-08-2019 04:30,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6564724214979457024,"An aggressive journalist to Sushma Swaraj :""
""""
""Journalist : Ma'am, I have an question , for which you have to answer with either an Yes or a No. ""
""""
""Sushma : Did you stop hitting your wife ?""
""""
""""
""To a leader with Amazing wit and tenacious grit. Rest in Peace ma'am. ""
""""
""An entire generation should take pride in your life and path ",,,MEMBER_NETWORK
05-08-2019 06:22,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6564027611931078656,"""
""I have prepared an extensive hands on regression tutorial in python. Contents are as follows ""
""""
""1. Correlations - with scatter plots, Pearson coefficients, heat map""
""2. Verifying Linearity assumption with residual plots in linear and non linear data and solve non linearity with transform""
""3. Verifying Homoscedasticity assumption with residual plots and solve heteroscedasticity with transform - apply regression - verify assumption again""
""4. Effect of Influential observations and outliers with residual plots and remedies.  ""
""5. Building regression model on nonlinear data with poly ""
""6. Simple linear regression - statistical approach - coded from scratch ""
""7. Multiple linear regression - statistical approach - Ordinary Least Squares method - stats models ""
""8. Multiple linear regression  - ML approach - gradient descent - implemented from scratc ""
""10. Multiple linear regression  -sklearn""
""11. 3d visualisation of residuals""
""12. Multicollinearity - diagnosis - solving with VIF ""
""14. End to end regression model on raw data""
""15. Lasso, Ridge ,parameter tuning ""
""16. Metrics""
""""
""This is what my #endtoend Data Science course students get !!!. I am giving out this for FREE. Interested ??""
""""
""""
""Update (14 Aug) : We have started sending out via PM. Expect to receive in a week. ",,,MEMBER_NETWORK
04-08-2019 12:39,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6563760062492442624,"You will live on in every machine's buzz, ""
""every bean to be grounded, ""
""every relish of coffee lovers  and ""
""every table on which deals will be made ""
""every glance of mine at CCD stores ""
""""
""Full tribute article to V G Siddhartha here - ""
""https://lnkd.in/fj6Hp4J",,,MEMBER_NETWORK
30-07-2019 04:21,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6561822881423118336,"While a lot of institutes employ sales and marketing and followup every lead they capture, I never did that for my #EndtoEnd Data Science course. ""
""""
""My criteria was to improve student completion rate rather conversion rate. Hence a simple strategy I followed was give all information on the course to all possible leads and let them come back. This way - only the real passionate came to me. ""
""""
""I didn't spend 10 minutes each for 100 leads. I spent 100 minutes for that 10 people who believed me :)""
""""
""My conversion rates were lowest in market but my student's completion rates soared making me best in market.""
""""
""The best things that  happened were :""
""""
""	1. No money spent for followup staff - use them to lower price of course - give affordable and more quality content.""
""""
""	2.  My time to followup was spent on current students - I respond to my students at 6 AM or 11 PM if i see their message. ""
""""
""And I am loving doing this !! ""
""And if you ask me - Prudhvi, what about scaling ?""
""My answer would be, we will discuss in KNN's class. The issue with scaling !! 🙂",,,MEMBER_NETWORK
27-07-2019 06:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6560762054196715520,"When your mission is a vision ""
""""
""When your vision is a mission ""
""""
""Anything is possible""
""""
""Feeling inspired. ""
""""
""#kalam #salam",,,MEMBER_NETWORK
26-07-2019 10:55,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6560472596205404160,"When you are in college and your friend writes a book, you ask for a free copy""
""""
""When you start working, you buy one for yourself.""
""""
""And now, when my friend, Ankit Rathi writes a book, you buy a 'lot' of them to gift to right people (learners) . ""
""""
""Learning should be rewarded. I am sending signed copies of this book to 30 of my best students from End to End Data Science and NLP 100 hours batches. ""
""""
""Tagging first few, I will be giving copies to ""
""Ashwini Naidu , Shravya Chillamcherla , Malathi Vaka Sudhev P Das Avijit Nandy",,,MEMBER_NETWORK
23-07-2019 05:42,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6559306564489052160,"If you drive on 'Indian roads with small margin - you can drive anywhere in the world - your model is generalized well""
""""
""When you train an SVM with small margin - your model doesn't drive on any data - it over fits. ""
""""
""#driving ""
""#datascience""
""""
""Amit Choudhary , Awantik Das ""
""""
""Anyone who drive and train neurons can relate ?",,,MEMBER_NETWORK
21-07-2019 07:02,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6558601894057603072,"Neuro Science and Data Science is a deadly combination - it's like two inquisitive people start discussing a wonderful idea. ""
""""
""And when you learn about natural neurons and artificial neurons at same place - that too from experts in a very niche area like this - that too free of cost !!""
""""
""You guys cannot afford to miss this. ""
""""
""All thanks for Usha Rengaraju for such events.",,,MEMBER_NETWORK
