names,headline,links,followers,date,num_posts,Average likes per post,Average comments per post,Avg likes per post per followe,Avg likes per post for 10k followers
Ritu Anand,Chief Leadership & Diversity Officer at TCS,https://www.linkedin.com/in/ritu-anand-9343065/,22041,"['1h', '1w', '1w', '2w', '3w', '1mo', '1mo', '1mo', '1mo', '1mo', '2mo', '2mo', '2mo', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '4mo', '4mo', '5mo', '5mo', '5mo', '5mo', '5mo', '6mo', '6mo', '6mo', '6mo']",34,764.0294118,44.64705882,0.034664009,346.6400852
Harish Bhat,"Brand Custodian, Tata Sons. Passionate marketer, author and columnist. LinkedIn Top Voice 2019.",https://www.linkedin.com/in/harishbhattata/,22040,"['4d', '1w', '2w', '3w', '3w', '1mo', '1mo', '1mo', '1mo', '2mo', '2mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '4mo', '5mo', '5mo', '5mo', '6mo', '6mo', '6mo', '6mo']",25,901.08,105.04,0.040883848,408.8384755
Rekha M Menon,Chairman and Senior Managing Director - Accenture in India,https://www.linkedin.com/in/rekha-m-menon-15325/,135476,"['1d', '2d', '3d', '3d', '6d', '1w', '1w', '2w', '2w', '2w', '2w', '3w', '3w', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '6mo', '6mo', '6mo']",62,225.2903226,6.981818182,0.001662954,16.62953753
Satyarth Priyedarshi,"Head of Digital, TATA AIA || Ex-Google, Jio, Flipkart || Linkedin Top Voice || LinkedIn Power Profile 2018 || TEDx Speaker",https://www.linkedin.com/in/satyarth/,68365,"['1h', '23h', '1d', '2d', '4d', '5d', '5d', '1w', '1w', '1w', '1w', '2w', '2w', '2w', '2w', '2w', '2w', '2w', '2w', '2w', '2w', '2w', '3w', '3w', '3w', '3w', '3w', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo']",121,405.0495868,28.79661017,0.005924809,59.24809285
Adhil Shetty,CEO at BankBazaar.com,https://www.linkedin.com/in/adhilshetty/,652793,"['3h', '1d', '4mo', '5mo', '6mo', '6mo', '6mo', '6mo']",8,344.75,9.125,0.000528115,5.281153444
Mubeena Azeez,Featured : LinkedIn Top Voices 2019: India || Creative Resume writer ||Global Talent Solutions - Boeing,https://www.linkedin.com/in/mubeena-azeez-79ab0765/,36799,"['3h', '1d', '1d', '1d', '6d', '2w', '3w', '1mo', '1mo', '1mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '6mo', '6mo', '6mo', '6mo']",50,138.96,30.73529412,0.00377619,37.7618957
Tapan Singhel,Managing Director & CEO at Bajaj Allianz General Insurance Co. Ltd.,https://www.linkedin.com/in/tapansinghel/,680075,"['1h', '1d', '1d', '3d', '4d', '5d', '5d', '5d', '5d', '6d', '1w', '1w', '1w', '1w', '1w', '2w', '2w', '2w', '2w', '2w', '2w', '2w', '3w', '3w', '3w', '3w', '3w', '3w', '3w', '3w', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo']",137,548.5693431,29.79562044,0.000806631,8.066306555
Rahul Subramanian,Here to crack jokes and not to be taken seriously,https://www.linkedin.com/in/rahul-subramanian-74347510/,211250,"['1d', '2d', '3d', '5d', '6d', '1w', '1w', '1w', '2w', '2w', '2w', '2w', '2w', '3w', '3w', '3w', '3w', '3w', '3w', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '4mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '5mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo', '6mo']",122,5454.54918,95.53278689,0.025820351,258.2035115
Kunal Shah,"Founder : CRED, FreeCharge",https://www.linkedin.com/in/kunalshah1/,132111,"['1d', '1d', '6d', '6d', '6d', '1w', '1w', '2w', '3w', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '1mo', '2mo', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '5mo', '5mo', '6mo', '6mo']",38,1789.131579,131.0526316,0.013542639,135.4263899
Divya Gokulnath,Co- Founder - BYJU'S,https://www.linkedin.com/in/divya-gokulnath-6b5a7a108/,61780,"['5h', '3d', '5d', '3w', '3w', '1mo', '1mo', '1mo', '2mo', '2mo', '3mo', '3mo', '3mo', '3mo', '3mo', '4mo', '4mo', '4mo', '5mo', '5mo', '5mo']",21,1837.904762,103.952381,0.029749187,297.4918682
