Organization,Followed On
iLenSys Technologies Pvt Ltd,Mon Dec 10 02:29:23 UTC 2012
Deloitte,Mon Dec 10 02:30:12 UTC 2012
Cisco,Mon Dec 10 02:30:17 UTC 2012
NXP acquires Freescale Semiconductor,Mon Dec 10 02:30:28 UTC 2012
EDC Creative Technology Solutions Pvt Ltd,Mon Dec 10 02:33:25 UTC 2012
Schlumberger,Wed Dec 19 05:23:54 UTC 2012
Shell,Fri Dec 21 16:36:07 UTC 2012
Misys,Wed Dec 26 16:08:01 UTC 2012
Rockwell Automation,Wed Oct 30 06:49:26 UTC 2013
Alstom Power,Wed Oct 30 06:49:32 UTC 2013
IEEE,Wed Oct 30 08:15:23 UTC 2013
BP,Thu Sep 18 10:03:27 UTC 2014
Dubai Electricity & Water Authority - DEWA,Sat Nov 29 12:49:43 UTC 2014
"NSTAR, now Eversource Energy- Follow our new company page, Eversource Energy",Fri Dec 26 17:43:35 UTC 2014
Alstom Grid,Sat Dec 27 22:42:57 UTC 2014
"Quanta Technology, LLC",Mon Dec 29 17:25:47 UTC 2014
Toshiba Social & Industrial Infrastructure,Sat Jan 10 23:54:07 UTC 2015
SolPad,Thu Jan 22 01:14:23 UTC 2015
Future SEEDS,Fri Mar 20 15:14:38 UTC 2015
FactSet,Sat Mar 28 01:59:20 UTC 2015
Microsoft,Sat Mar 28 01:59:21 UTC 2015
Goldman Sachs,Sat Mar 28 01:59:23 UTC 2015
Housing.com,Thu Apr 02 01:34:15 UTC 2015
Scripbox,Sat Apr 11 00:46:47 UTC 2015
IONICS Power Solutions Pvt. Ltd.,Sat May 23 10:06:33 UTC 2015
ABB Product Group Solar,Sat May 23 10:06:37 UTC 2015
Princeton Power Systems,Sat May 23 10:06:49 UTC 2015
eV Renewables Pvt Ltd,Fri Aug 14 06:49:48 UTC 2015
New Earth Alternate Technology,Fri Aug 14 06:49:48 UTC 2015
TiE Bangalore,Mon Aug 31 15:30:07 UTC 2015
The Startup Centre,Mon Aug 31 15:30:07 UTC 2015
Social Networking for Entrepreneurs,Mon Aug 31 15:30:07 UTC 2015
Harvard Business Review,Wed Nov 11 07:39:23 UTC 2015
NUS Computing,Wed Nov 11 07:45:51 UTC 2015
The Positive India,Sun Jun 19 11:21:25 UTC 2016
Data Scientist Recruiters,Tue Jun 21 01:48:35 UTC 2016
Everlytics Data Science Pte Ltd,Fri Aug 26 03:47:34 UTC 2016
National Institute of Technology Warangal,Sat Sep 03 00:05:28 UTC 2016
International School of Engineering (INSOFE),Thu Feb 02 08:52:19 UTC 2017
IceCream Labs,Mon Feb 06 10:26:22 UTC 2017
Artivatic.ai [Insurtech],Mon Apr 24 23:27:46 UTC 2017
Impact Analytics,Mon Apr 24 23:30:16 UTC 2017
moneycontrol.com,Tue May 02 07:16:03 UTC 2017
Perceptive Analytics,Sun Jul 16 09:39:40 UTC 2017
GE Power,Mon Sep 25 17:46:37 UTC 2017
Databricks,Sun Dec 24 15:56:14 UTC 2017
Wimoxez,Tue Dec 26 12:12:57 UTC 2017
SuperDataScience,Sun Apr 22 15:41:41 UTC 2018
GradValley Data Science,Sat Jun 09 06:41:39 UTC 2018
Kaggle,Fri Jun 29 18:12:22 UTC 2018
T-Hub Hyderabad,Thu Jul 05 08:53:26 UTC 2018
iB Hubs,Fri Sep 21 13:31:00 UTC 2018
Avid Data Science Services,Sun Dec 30 06:16:34 UTC 2018
Lakeer,Tue Feb 12 11:33:47 UTC 2019
IIIT Hyderabad,Wed Mar 06 02:14:14 UTC 2019
Humans of Analytics,Wed Apr 24 11:20:16 UTC 2019
SmartzWear,Sat Jun 22 01:37:30 UTC 2019
Fulton Analytics,Fri Aug 02 13:20:36 UTC 2019
Towards Data Science,Sun Aug 04 07:48:55 UTC 2019
Toshiba Corporation,Fri Aug 09 01:50:50 UTC 2019
SupervisedLearning.com,Thu Aug 15 04:30:34 UTC 2019
Machine Learning Mastery,Fri Aug 16 10:06:30 UTC 2019
Open Data Science Conference (ODSC),Fri Aug 16 10:06:33 UTC 2019
Analytics India Magazine,Fri Aug 16 10:06:37 UTC 2019
deeplearning.ai,Fri Aug 16 10:06:39 UTC 2019
DataCamp,Fri Aug 16 10:06:44 UTC 2019
Data Science Central,Fri Aug 16 10:06:56 UTC 2019
ShopNani,Sat Nov 23 00:58:07 UTC 2019
Story by Data,Fri Feb 07 22:56:39 UTC 2020
