Group name,Group description,Group rules,Date joined,Membership status
Career and Professional Development Center,"Outcomes-based education implies that when programs are planned, desirable learning outcomes are identified and considered in the formulation of the plans.  In 2018 a new strategic vision for career development was operationalized at the International Council of Technology, Management and Applied Engineering (ICTMAE), USA, India and EU focused on re-branding the Career Center and increasing student engagement in career planning. The plan emphasized the ICTMAE’s commitment to facilitating the professional development of students and alumni and incorporated the intentional assessment of student learning, engagement, and satisfaction to track success. The Career Center was renamed the Career and Professional Development Center (CPDC) and a team of Student Affairs professionals revised the ICTMAE’s mission, vision, research objectives, and developed a new career development framework focused on student learning and outcomes assessment.  A NEW MISSION  The new mission of the CPDC centers on empowering students, developing connections to the employment community, and instituting sustainable programs and services. The mission is supported by three core themes:  (1) creating expert career managers,  (2) integrating career development campus— wide, and  (3) creating synergy between the employment community, alumni and current students.  To ensure that the mission and core themes could be connected to learning outcomes and assessed, five strategic priorities were developed. ","This group is only for Indian Job Opening and Job Seekers, Mentors, Influencers, Career Coach, Furure Ready, Nextgen, Edutech, Careers.  Request us to be manager so that you can invite your networks for this great mission.",2019/12/16 19:17:42 UTC,MEMBER
Artificial Intelligence (AI) and Machine Learning,"This platform is focused to help you catch up with the latest  trends, most recent technological advancements and newest updates. ",,2019/10/17 06:47:29 UTC,MEMBER
Big Data Analytics and Predictions,"Data is the new oil. Data is the next global currency. Data is gold. You must have read above terms somewhere. This group is dedicated to all the data analytics lovers.  Come and join this group together we will create a knowledge center of all the big data analytics lovers.  The purpose of this group is to inform and to discuss different topics and tips from user-to-user and to create a global network of people already using – or interested in using analytics and predictions.  This group deals with Big Data, Data Mining, Statistics, Business Analytics, Predictions, Predictive Analytics, and Web Analytics.",,2019/10/17 06:47:10 UTC,MEMBER
I belong to You (A Selfless Platform for job seekers & Hiring Manager),Pick & Drop  Resume,Helping to all Company and Job Seekers,2019/10/04 07:20:44 UTC,MEMBER
Data Geeks- Big Data| Data Science| Cloud| Analytics| Artificial Intelligence,"It's all about data lovers who share their insights, learnings, experiences, and jobs available in the market."" LET THE DATA FLOW""","=> Anything and everything related to data is to be discussed. => Group shall not tolerate any discrimination against each other or any directed person. => No politics to be discussed. => Expecting everyone to be humble and hungry to learn, share and promote the group(if you think it's of use).   ",2019/06/20 05:18:34 UTC,MEMBER
Automated Machine Learning,The sole purpose of this group is to bring together professionals who are passionate about Automated Machine Learning and AI ,,2019/05/09 11:59:36 UTC,MEMBER
DemystifyLI,"DemystifyLI is a one stop place to find every answer related to LinkedIn.   Why LinkedIn? What is LinkedIn? How to use LinkedIn? What is in LinkedIn for me? Which tips and strategies should I use to get benefits from LinkedIn?  Answers to these questions and many other questions like these are present in DemystifyLI.  Whether you are a student or a professional looking to switch your career or a business owner searching for clients or someone who's just trying to understand LinkedIn, DemystifyLI is for YOU!  Time for a short story 😁  One fine afternoon of December, 2018; a girl was typing a WhatsApp group message to make her fellow college mates analyse their LinkedIn journeys. After putting a full stop to the last sentence of the message, her fingers didn't stop hovering over her old phone's keyboard. A few moments later, she found #demystifyLI typed at the last line of the message.   That's how, DemystifyLI came into existence. It began as an intuitive effort to make people simplify, understand and use LinkedIn in the best way possible. It began as a hashtag for WhatsApp (quite silly though as there's no significance of hashtags on WhatsApp, lol) then it became a hashtag of LinkedIn, now it has become a tribe.  Yes, a TRIBE! A tribe of people regardless of their profession or purpose or skill-set or career stage. A tribe where people learn and discuss about LinkedIn. A tribe where people help each other to thrive on LinkedIn. That's DemystifyLI for you.  Are you wondering, who can join this group? Well, the answer is, ANYONE and EVERYONE. Anyone and everyone who wants to use LinkedIn to its full potential. If you are one of those anyone or everyone, you are heartily welcomed.  Also an add on is you'll get to read more stories like the one which you just read.  Oh BTW, did someone tell you, the girl of the above story is this group's owner 😉  Without further adieu, let's begin this roller coaster ride of learning with fun! ","1. Be nice, be helpful, encourage with one another and bring value to discussions. If all you do is show up & drop links to your own webinars, blogs or posts, you will find your items magically disappeared. Yes, the group manager has got some magical powers 😉  2. Any kind of profanity or abusive, racist, sexist content will not be tolerated. The posts that are perceived as spam will be deleted immediately as well as the member who is posting such content. Zero tolerance for spamming, peeps! Can't help it!  3. If there are any violations of the rules, you will be warned. Keep doing it & you will be blocked from the group. Rules are rules! Gotta adhere to these 🙃  Above all stay active, have fun and see yourself grow. This tribe is gonna help you to succeed in your LinkedIn journey. And above-mentioned rules are primary steps towards it. Let’s make this tribe worthy of it.  Thank you for your cooperation and again a very warm welcome!! 😄",2019/04/24 19:55:35 UTC,MEMBER
"Data Science, AI & Big Data ","""AI & Data Science India"" is a group of professionals for the purpose of learning and sharing ideas Job openings and problems in Data Science, Artificial Intelligence and other related technologies.",,2019/01/09 16:36:50 UTC,MEMBER
Data Literacy Advocates,"A group for people who want to get better at speaking the language of data, and who want to find ways to help others do the same. People from all disciplines, backgrounds and geographies are welcome.","The purpose of this group is for professionals of all industries and disciplines to share ways to improve their own level of data literacy - reading, understanding, creating and communicating data as information - and to teach and train others to improve as well.  Some basic rules - First and foremost, respect each individual and their views. Second, respect the time and attention of the members of group. Only post content, pose questions, or add comments that are germane to the group topic. Good group etiquette is to promote the work of others at least as much as you promote your own, and engage in conversations started by others at least as much as you start your own new threads. Lastly, be kind, be positive, and seek to build up the other members of the group. Be the kind of member you'd want everyone else here to be.  ",2018/12/12 04:27:12 UTC,MEMBER
Artificial Intelligence | Deep Learning  | Machine Learning,"The sole purpose of this group is to foster deep engagement through high-charged discussion pertaining to the following topics #1 Impact of Artificial Intelligence within Enterprises, Society and Technology  #2 Need for Deep Learning and Machine Intelligence skills #3 Practical use of DeepLearning and AI within businesses that focuses on innovation, bottom-line (by creating efficiencies and reducing waste at the corporate assets) and improving top-line growth (by introducing efficient products and services through monetizable algorithms and deep learning models )                                                                                                                                                                                                                                                    Visit my website for blog articles pertaining to the above trends at https://www.tarrysingh.com","Group Rules:  - Please behave : Don't spam, No Marketing Stuff, Don't do anything stupid! - Engage but keep discussions around Machine Learning, Artificial Intelligence Innovation and Emerging Technologies and Trends, if you do not adhere you will be flagged and blocked automatically - Ensure to also participate, we want to learn from you and each other.  That's it!  Take care and have fun,  Tarry",2018/12/09 12:10:47 UTC,MEMBER
